,Title,number of Comment,Mean,Price
0,CHAUSSURE KIPRUN RACE KALENJI FEMME VIOLET JAUNE KALENJI,10,4.3/5,"


49€00
"
1,CHAUSSURES RUNNING FEMME KALENJI KIPRUN FAST CORAIL VIOLET KALENJI,1,5/5,"


69€99
"
2,CHAUSSURES JOGGING FEMME RUN ONE GRIS KALENJI,207,4.4/5,"


12€00
"
3,CHAUSSURES JOGGING FEMME RUN ELIOPRIME GRIS CORAIL KALENJI,37,4.4/5,"


55€00
"
4,CHAUSSURES JOGGING FEMME RUN ACTIVE GRIP VERT KALENJI,15,4.3/5,"


35€00
"
5,CHAUSSURES JOGGING FEMME RUN ACTIVE BORDEAUX ROSE KALENJI,109,4.5/5,"


30€00
"
6,CHAUSSURE COURSE A PIED HOMME ELIOFEET BLEU KALENJI,66,4.4/5,"


40€00
"
7,CHAUSSURE ATHLETISME ENFANT EKIDEN ONE BLEU MARINE KALENJI,167,4.4/5,"


12€00
"
8,CHAUSSURES JOGGING FEMME RUN CUSHION NOIR CORAIL KALENJI,149,4.4/5,"


17€00
"
9,CHAUSSURES JOGGING FEMME RUN CONFORT BLEU DIVA KALENJI,96,4.3/5,"


30€00
"
10,CHAUSSURES DE RUNNING HOMME KIPRUN LONG ROUGE KALENJI,126,3.8/5,"


70€00
"
11,CHAUSSURES JOGGING FEMME RUN CUSHION GRIP BORDEAUX KALENJI,51,4.4/5,"


18€00
"
12,CHAUSSURE RUNNING FEMME KIPRUN LONG CORAIL BLEUE KALENJI,110,4/5,"


70€00
"
13,Chaussures Athlétisme Enfant Kiprun Bleu Jaune Fluo KALENJI,6,5/5,"


30€00
"
14,CHAUSSURE COURSE A PIED HOMME ACTIVE BREATHE BLEU KALENJI,6,3.8/5,"


35€00
"
15,CHAUSSURE COURSE A PIED HOMME RUN ACTIVE ROUGE KALENJI,70,4.4/5,"


30€00
"
16,CHAUSSURE COURSE A PIED HOMME RUN ONE GRIS KALENJI,357,4.2/5,"


12€00
"
17,CHAUSSURE COURSE A PIED HOMME RUN ACTIVE GRIP GRIS NOIR KALENJI,111,4.4/5,"


35€00
"
18,CHAUSSURES TRAIL RUNNING KIPRUN TRAIL MT HOMME BLEU JAUNE KALENJI,131,4.3/5,"


80€00
"
19,CHAUSSURES ATHLÉTISME ENFANT KIPRUN GRIP GRIS NOIR ORANGE FLUO KALENJI,26,4.3/5,"


30€00
"
20,CHAUSSURE TRAIL RUNNING KIPRUN TRAIL MT FEMME BORDEAUX KALENJI,54,4.3/5,"


80€00
"
21,CHAUSSURE TRAIL RUNNING KIPRUN TRAIL TR HOMME ROUGE NOIR KALENJI,64,4.5/5,"


30€00
"
22,CHAUSSURES TRAIL RUNNING KIPRACE TRAIL 4 HOMME JAUNE NOIR KALENJI,56,4.3/5,"


75€00
"
23,CHAUSSURE TRAIL RUNNING KIPRUN  XT7 FEMME NOIR BRONZE KALENJI,7,4.7/5,"


70€00
"
24,CHAUSSURE COURSE A PIED HOMME RUN CUSHION NOIR JAUNE KALENJI,176,4.3/5,"


17€00
"
25,CHAUSSURES JOGGING FEMME RUN CONFORT GRIP NOIR CORAIL KALENJI,44,3.8/5,"


35€00
"
26,CHAUSSURES DE RUNNING KIPRUN LONG DEPERLANTE HOMME NOIRE JAUNE KALENJI,50,4.3/5,"


80€00
"
27,CHAUSSURES DE RUNNING KIPRUN RACE HOMME NOIR ROUGE KALENJI,31,4.4/5,"


70€00
"
