,Title,number of Comment,Mean,Price
0,Bâtons de ski de fond performance Nordic 700 INOVIK,8,4.4/5,"


39€00
"
1,Bâtons de ski de fond sport Nordic 300 QUECHUA,5,4.4/5,"


39€00
"
2,Bâtons de ski de fond loisir junior Nordic 50 vert QUECHUA,n/a,n/a,"


6€00
"
3,Bâtons de ski de fond adulte XC S POLE 570 INOVIK,n/a,n/a,"


49€00
"
4,CHAUSSURES DE SKI ENFANT SKI BOOT PUMZI 500 BLEUES WED'ZE,4,4.8/5,"


75€00
"
5,CHAUSSURES DE SKI ENFANT SKI-P BOOT 500 NOIRES WED'ZE,5,4.6/5,"


80€00
"
6,BÂTONS DE SKI ENFANT TEAM 100 BLANCS WED'ZE,12,4.3/5,"


10€00
"
7,BÂTONS DE SKI DE PISTE FEMME ADIX 700 LIGHT NOIRS WED'ZE,1,4/5,"


25€00
"
8,BÂTONS DE SKI DE PISTE FEMME ADIX 500 GRIP NOIRS WED'ZE,13,4.7/5,"


20€00
"
9,CHAUSSURES DE SKI DE PISTE FEMME WID 700 NOIRES WED'ZE,16,3.6/5,"


150€00
"
10,CHAUSSURES DE SKI DE PISTE HOMME SKI BOOT WID 300 NOIRES WED'ZE,9,4.2/5,"


90€00
"
11,CHAUSSURES DE SKI DE PISTE FEMME SKI-P BOOT WID 300 NOIRES WED'ZE,13,4.2/5,"


90€00
"
12,BÂTONS DE SKI DE PISTE ADULTE SKI-P BOOST 550 ROBUST NOIRS WED'ZE,6,4.3/5,"


25€00
"
13,BATONS DE SKI FREERIDE ET SKI DE RANDONNEE ADULTE SAMURAI 950 LIGHT JAUNES WED'ZE,4,5/5,"


40€00
"
14,BÂTONS DE SKI FEMME SKP ADX 100 BLANCS WED'ZE,42,4.4/5,"


12€00
"
15,BATONS DE SKI HOMME BOOST 500 GRIP JAUNE WED'ZE,44,4/5,"


20€00
"
16,BÂTONS DE SKI ENFANT TEAM VARIO 500 JAUNES WED'ZE,8,4.6/5,"


20€00
"
17,Chaussures de ski All Mountain homme WID 500 noires WED'ZE,12,4.2/5,"


130€00
"
